"会議開始からの時刻","日付","時刻","話者","タグ","発言内容"
"00:00:00","2026/01/15","13:33:03","speaker1","","ブロック"
"00:00:02","2026/01/15","13:33:05","speaker1","","何かちょっと総務さんすってる死ぬ人が嬉しいし、ここには言えないですないです。"
"00:00:10","2026/01/15","13:33:13","speaker1","","一発そう。"
"00:00:14","2026/01/15","13:33:17","speaker1","","常盤コーチです。今、"
"00:00:20","2026/01/15","13:33:23","speaker1","","なんで運送はい注文時にもちょっと書いてもらえて嬉しい。自分はすごいですね。"
"00:00:29","2026/01/15","13:33:32","speaker1","","確かにそうっていう。"
"00:00:35","2026/01/15","13:33:38","speaker1","","今っぽい。"
"00:00:36","2026/01/15","13:33:39","speaker1","","もうここに来る人が少なめなんですよ。"
"00:00:40","2026/01/15","13:33:43","speaker1","","なのでインターネット台湾全て使ってもらえてすごく嬉しいな確定します。忙しいからないでしょうという話で"
"00:00:51","2026/01/15","13:33:54","speaker1","","W朝みんな心を作って服装番地杏ちょっと小腹さんが来てくれる。"
"00:00:59","2026/01/15","13:34:02","speaker1","","大丈夫です。"
"00:01:02","2026/01/15","13:34:05","speaker1","","二つ目なんですよからいなかったんですないですけど、ここ最近で言いますね選手優しいおっしゃいゆっくりしてください。後ろは外である。知らない。"
"00:01:16","2026/01/15","13:34:19","speaker1","","次どうぞ"
"00:01:18","2026/01/15","13:34:21","speaker1","","ありがとうございます。嬉しいです一番前に噴火しましょう。なるほどそう。そうさ、すごい圧が良いと思ってそう。"
"00:01:29","2026/01/15","13:34:32","speaker2","","身近な野菜が届いてないみたい。"
"00:01:32","2026/01/15","13:34:35","speaker2","","だけども、よく言うじゃない。必要なときにって言っても駄目だから、違う戦い方たちがやってくれるか心配してますね"
"00:01:47","2026/01/15","13:34:50","speaker1","","半ぐらいな"
"00:01:50","2026/01/15","13:34:53","speaker1","","違う人は変わってない。"
"00:01:55","2026/01/15","13:34:58","speaker1","","そこは"
"00:01:57","2026/01/15","13:35:00","speaker1","","追って半分ぐらいだと思う調べになるから"
"00:02:01","2026/01/15","13:35:04","speaker2","","大丈夫なんで仕方がないみたいな"
"00:02:05","2026/01/15","13:35:08","speaker3","","いやだんだんだんだんみんな嫌がってんだな。いや、Zoomでみんな見てるって。Zoomでみんな参加してる会長のここのカメラからカメラ方がここを見るのね俺は僕を見ちゃうから駄目なんだよね。"
"00:02:19","2026/01/15","13:35:22","speaker1","","カメラことで、はい。"
"00:02:21","2026/01/15","13:35:24","speaker4","","画面は一般トレジャー持ってたんだ。ちょっと持ってきましたもうはい。最も、はい。"
"00:02:28","2026/01/15","13:35:31","speaker5","","売ってるよ。"
"00:02:30","2026/01/15","13:35:33","speaker4","","よろしくお願いします。"
"00:02:32","2026/01/15","13:35:35","speaker4","","電話切っとるやん。"
"00:02:51","2026/01/15","13:35:54","speaker1","","何だっていうあってできなかったりはい。どっちがいいです。"
"00:02:59","2026/01/15","13:36:02","speaker1","","そうです。はいはいはい。ところでさ"
"00:03:03","2026/01/15","13:36:06","speaker1","","癒されると話したときに一番まず"
"00:03:10","2026/01/15","13:36:13","speaker1","","ちょっと2人にするのがすごいです。うん。"
"00:03:14","2026/01/15","13:36:17","speaker3","","どれを見るのこりゃ"
"00:03:16","2026/01/15","13:36:19","speaker3","","これ見るとこれ、これみんなこれなんかこれをこれを見ればわかるんすかこの辺に映るといいな"
"00:03:24","2026/01/15","13:36:27","speaker1","","それをちょっと間違えちゃったんですよね。"
"00:03:28","2026/01/15","13:36:31","speaker1","","うん。"
"00:03:29","2026/01/15","13:36:32","speaker1","","これはあってるMRってthisてるじゃんか。うん。はい。あんまりいい全然OK"
"00:03:42","2026/01/15","13:36:45","speaker6","","ウェブの皆さん聞こえてますか。"
"00:03:46","2026/01/15","13:36:49","speaker6","","聞こえてます。どうぞ聞こえてます何か言ってくださいよ。聞こえてるって言ったらどこを持ちます。お疲れ様です。千葉です。はい。それから、"
"00:03:59","2026/01/15","13:37:02","speaker1","","そこに出てますけど"
"00:04:01","2026/01/15","13:37:04","speaker7","","第3とか、5台5台増えてます。5台と5人の写真が出てないだけなんだよ。Webで出てます本日もすいません。うん。それから、はい。千葉事務所"
"00:04:15","2026/01/15","13:37:18","speaker6","","それから、"
"00:04:16","2026/01/15","13:37:19","speaker1","","報告して"
"00:04:18","2026/01/15","13:37:21","speaker6","","お前誰だ。すごいです。大井さんがありました。すごいか。はい。もう今日はいい顔してんな。はいいつも聞こえてる。聞こえてます。大きくわかったわかった上から"
"00:04:33","2026/01/15","13:37:36","speaker6","","クマがみ"
"00:04:36","2026/01/15","13:37:39","speaker6","","くまくまくまところにいるんだ。"
"00:04:41","2026/01/15","13:37:44","speaker6","","宿場所はどこにいるの"
"00:04:44","2026/01/15","13:37:47","speaker6","","それから斎藤龍一"
"00:04:48","2026/01/15","13:37:51","speaker6","","80分80分とリリース後Webじゃねか。"
"00:04:55","2026/01/15","13:37:58","speaker1","","場所が違ってます。"
"00:04:57","2026/01/15","13:38:00","speaker6","","もうそんなもの"
"00:05:00","2026/01/15","13:38:03","speaker3","","うんはい、わかった。"
"00:05:04","2026/01/15","13:38:07","speaker2","","いいのかなはい。はい。今日も暇いただきましてありがとうございます。はい。第2回の最初の人がいるので今日はいよいよ開催方法についてです。"
"00:05:16","2026/01/15","13:38:19","speaker1","","お話いただけるという話をしております。では早速、よろしくお願いします。はい。よろしくお願いします。"
"00:05:23","2026/01/15","13:38:26","speaker3","","お願いします。"
"00:05:24","2026/01/15","13:38:27","speaker6","","参加者が少なくなると、これを打ち切りになりますんで、"
"00:05:29","2026/01/15","13:38:32","speaker6","","まだ相談しませんけども、12月に3回目が母子許されればあるんですね。そんときは参加してくれた方々と一緒に安井町中華へ行って、終わったら忘年会やろうかというふうに思っております。"
"00:05:48","2026/01/15","13:38:51","speaker6","","予告です宮内がケチでねお金を出さないっつったら俺自腹でもみんな呼びますから、よろしくお願いします。"
"00:05:57","2026/01/15","13:39:00","speaker6","","今日はいわゆる核心に映るよ。要するに、ベッセルっていう会社はどういう会社なのか、何をしようとしているのか何を目指したのかという一番貧しい、いわゆる40代の私40代のベストら、"
"00:06:18","2026/01/15","13:39:21","speaker6","","34歳のときにベッセルを作って、名古屋で苦労苦労っていうくそをしてですね、4000万の借金を持って東京に夜逃げして出てきてまた、"
"00:06:35","2026/01/15","13:39:38","speaker6","","飯が食えなくて、前回お話したようにトランスの中の銅の量をどうやって見るかということでやっと生きる生きることは、いわゆる飯を食って生きることができたんですけれども、それは生きることであって、"
"00:06:53","2026/01/15","13:39:56","speaker6","","夢は今度夢を成就させるためにはどうどうしたらいいのか。要するに、何かをしないと、"
"00:07:05","2026/01/15","13:40:08","speaker6","","会社を大きくすることはできないわけですからそれをどう、たった1人でですよ。たった1人の吉野がですね、10年間本を書き続けて、やっと52歳で隣国は向こうにたどり着くということなんですけどこの10年ちょっとの間、いわゆる"
"00:07:28","2026/01/15","13:40:31","speaker6","","たった1人のゲストら、吉野は何をしてきたかということをお話させていただきたいというふうに思いますいわゆる考え、解体を考えるっていう、誰も考えたことない解体を考える、考えることが生きることだというふうに気がついたこの10年間だというふうに思ってください。まず真っ先に"
"00:07:52","2026/01/15","13:40:55","speaker6","","そうだ嘘だ。脱線しますけど"
"00:07:57","2026/01/15","13:41:00","speaker6","","韓国でボイラーが倒れました。ここのことここのことをですね今度もし許されれば、3回目にリンゴ神候補4回目に転倒こういうふうに進んでいきたいと思いますけれどもまさにボイラーを点灯させようとした、あの転倒がうまくいかなかったっていうことなんですね。ちょっとエピソードを一つ一つお願い、お話したいと思います。"
"00:08:25","2026/01/15","13:41:28","speaker6","","1992年に琵琶湖のほとりにレイクサイドビルっていういわゆる爆破解体でですね、建物を倒すということがあって、もうこれは若い方はご存知ない1992年の話ですから、今から30年ちょっと前の話です。"
"00:08:47","2026/01/15","13:41:50","speaker6","","琵琶湖の大戸温泉のとこですから、比叡山の下ですね。坂元というところに幽霊ビルがありましてですね8ヶ月ぐらいあったのから、もう作ったばっかりで、コンクリートだけで内装もしてないようなビルです。"
"00:09:02","2026/01/15","13:42:05","speaker6","","幽霊ビルです20年ぐらい大阪万博のために作ろうとしたんですが資金がショートして、結局ほったらかしになって、それを京都の言ういくっていう若いアンちゃんがですね、買ってもう1回リゾート開発をしようとしたんですが、こいつも倒産するということなんですけども、問題は"
"00:09:24","2026/01/15","13:42:27","speaker6","","私大阪から東京に帰る新幹線に乗ったんですが、めちゃくちゃ混んでましてですね。もうどうにもならないですねどっか3時間かかりますから何とかしなきゃいかんということで、何とかグリーン車でもいいから、とにかく空いてるとこあったら座ろうと思ってグリーン車に座ったんです。"
"00:09:45","2026/01/15","13:42:48","speaker6","","次は京都だったんすね。京都で1人若いあんちゃんが乗り込んできて、私の横に座ったんです。でどうも操作をしてるんで、聞いたら安も席がなくてですね、たまたま"
"00:10:03","2026/01/15","13:43:06","speaker6","","切符のないやつが2人隣同士座ったんですが、名古屋で乗ってこなきゃいいかなっつって2人でこう言ってたら幸いな上で乗ってこなかったんすよ。仲良くなってですね、東京まで、こいつと話をしたんですこれが"
